Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
RĪGA,3501901653,Rīgas 11. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848517, 67848518, 67848519",r11pii@riga.lv,"RAŅĶA DAMBIS 3, KURZEMES RAJONS, RĪGA, LV-1048",INGŪNA VASKA,121,84
RĪGA,3501901723,Rīgas 14. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848169, 67848170, 67848171",r14pii@riga.lv,"VIRCAVAS IELA 2, KURZEMES RAJONS, RĪGA, LV-1083",GUNITA GRĪNBERGA,102,76
RĪGA,3501901727,Rīgas 210. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848532, 67848533, 67848534",r210pii@riga.lv,"BRŪŽU IELA 6, KURZEMES RAJONS, RĪGA, LV-1016",KRISTĪNE MASLOVA,75,40
RĪGA,3501901731,Rīgas 123. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848468, 67848467, 67848466",r123pii@riga.lv,"KRISTAPA IELA 39, KURZEMES RAJONS, RĪGA, LV-1046",LOLITA AFREMENKOVA,60,51
RĪGA,3501901734,Rīgas 197. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848196, 67848197",r197pii@riga.lv,"BIRZES IELA 44, KURZEMES RAJONS, RĪGA, LV-1016",SARMĪTE SPINGA,117,79
RĪGA,3501901736,"Rīgas pirmsskolas izglītības iestāde ""Kamenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848159, 67848158, 67848157",rpiikame@riga.lv,"SLOKAS IELA 126A, KURZEMES RAJONS, RĪGA, LV-1067",VELGA BALIČEVA,111,93
RĪGA,3501901739,Rīgas 81. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848232, 67848233, 67848234",r81pii@riga.lv,"GRĪVAS IELA 15, KURZEMES RAJONS, RĪGA, LV-1055",AIJA OZOLA,73,40
RĪGA,3501901756,Rīgas 80. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848469, 67848470, 67848471",r80pii@riga.lv,"GARĀ IELA 24, KURZEMES RAJONS, RĪGA, LV-1055",LUDMILA TOMAŠEVA,127,82
RĪGA,3501901757,"Rīgas pirmsskolas izglītības iestāde ""Kadiķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848475, 67848477",rpiikadi@riga.lv,"GARĀ IELA 31, KURZEMES RAJONS, RĪGA, LV-1055",LĪGA ZOLTNERE,101,67
RĪGA,3501901758,"Rīgas pirmsskolas izglītības iestāde ""Kamolītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848601, 67848602, 67848603",rpiikamo@riga.lv,"IĻĢUCIEMA IELA 4, KURZEMES RAJONS, RĪGA, LV-1055",ILZE ZAHAROVA,95,73
RĪGA,3501901764,Rīgas 104. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848168, 25411208",r104pii@riga.lv,"SLOKAS IELA 207, KURZEMES RAJONS, RĪGA, LV-1069",SVETLANA JANSONE,88,113
RĪGA,3501901771,Rīgas 234. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848485,r234pii@riga.lv,"KURZEMES PROSPEKTS 86C, KURZEMES RAJONS, RĪGA, LV-1069",ILONA JANSONE,236,169
RĪGA,3501901824,"Rīgas pirmsskolas izglītības iestāde ""Mežrozīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848536, 67848535",rpiimezr@riga.lv,"RODODENDRU IELA 6, KURZEMES RAJONS, RĪGA, LV-1083",IRINA CAUNE,118,89
RĪGA,3501901829,Rīgas 62. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848462, 67848461, 67848460",r62pii@riga.lv,"ALĪSES IELA 19, KURZEMES RAJONS, RĪGA, LV-1046",ILZE CILINSKA,138,99
RĪGA,3501901830,"Rīgas pirmsskolas izglītības iestāde ""Margrietiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848217,rpiimarg@riga.lv,"SLOKAS IELA 126, KURZEMES RAJONS, RĪGA, LV-1067",NATAŠA ĻEBEDEVA,129,88
RĪGA,3501901832,Rīgas 215. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848538,r215pii@riga.lv,"USMAS IELA 10, KURZEMES RAJONS, RĪGA, LV-1083",DAIGA KLEINE,89,95
RĪGA,3501901855,Rīgas 46. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848251,r46pii@riga.lv,"VECUMNIEKU IELA 5A, KURZEMES RAJONS, RĪGA, LV-1067",AIGA MEŅĢELSONE,134,80
RĪGA,3501901886,"Rīgas pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848531, 67848530",rpiipasa@riga.lv,"EIŽENIJAS IELA 8, KURZEMES RAJONS, RĪGA, LV-1007",DAIGA GARSILA,34,43
RĪGA,3501901934,"Rīgas pirmsskolas izglītības iestāde ""Dzirnaviņas""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848525, 67848524, 67848523",rdzirnapii@riga.lv,"TĀLAVAS GATVE 7, KURZEMES RAJONS, RĪGA, LV-1029",SVETLANA SMIRNOVA,117,75
RĪGA,3501901941,"Rīgas pirmsskolas izglītības iestāde ""Annele""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848520, 67848521",rpiianne@riga.lv,"ANNIŅMUIŽAS BULVĀRIS 78, KURZEMES RAJONS, RĪGA, LV-1069",INESE PLOCIŅA,116,101
RĪGA,3501901943,"Rīgas pirmsskolas izglītības iestāde ""Cielaviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848480, 67848479, 67848478",rpiiciel@riga.lv,"DAMMES IELA 42, KURZEMES RAJONS, RĪGA, LV-1069",EDĪTE OZOLIŅA,142,76
RĪGA,3501901959,"Rīgas pirmsskolas izglītības iestāde ""Laismiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848154,rpiilais@riga.lv,"SLOKAS IELA 211, KURZEMES RAJONS, RĪGA, LV-1069",LIJA MOLKE,90,82
RĪGA,3501901974,"Rīgas pirmsskolas izglītības iestāde ""Madariņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848527, 25414296",rpiimada@riga.lv,"DAGMĀRAS IELA 3, KURZEMES RAJONS, RĪGA, LV-1007",RASMA PURMALE,64,68
RĪGA,3501902510,"Rīgas pirmsskolas izglītības iestāde ""Priedīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848465, 67848464",rpiipriedite@riga.lv,"VALENTĪNA IELA 10A, KURZEMES RAJONS, RĪGA, LV-1046",SANDRA DIŠLERE,44,64
RĪGA,3501902632,Rīgas Bolderājas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848271,blsk@riga.lv,"FINIERA IELA 21, KURZEMES RAJONS, RĪGA, LV-1016",NATĀLIJA MONASTIRŠINA,113,72
RĪGA,3501903024,"Rīgas pirmsskolas izglītības iestāde ""Saulstariņi""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848270,piisaulst@riga.lv,"GOBAS IELA 27, KURZEMES RAJONS, RĪGA, LV-1016",AINA UŠAKOVA,144,98
RĪGA,3501903041,"Rīgas pirmsskolas izglītības iestāde ""Kurzeme""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848935, 67848937",piikurzeme@riga.lv,"SLOKAS IELA 130, KURZEMES RAJONS, RĪGA, LV-1067",INGA GUDĒVIČA,128,75
RĪGA,3501903306,"Rīgas pirmsskolas izglītības iestāde ""Bizmārītes""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848580,rpiibizmar@riga.lv,"MOTORU IELA 8, KURZEMES RAJONS, RĪGA, LV-1055",RITA DAŠKEVIČA,157,106
RĪGA,3501903324,"Rīgas pirmsskolas izglītības iestāde ""Riekstiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848221, 67848220",rpiiriek@riga.lv,"RIEKSTU IELA 14, KURZEMES RAJONS, RĪGA, LV-1055",IVETA ZAĶE,69,82
RĪGA,3501903393,Rīgas 8. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848201, 67848200, 67848199",r8pii@riga.lv,"PARĀDES IELA 24A, KURZEMES RAJONS, RĪGA, LV-1016",LARISA KOKAREVA,31,56
RĪGA,3501903394,"Rīgas pirmsskolas izglītības iestāde ""Dardedze""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848163,rpiidard@riga.lv,"SLOKAS IELA 209, KURZEMES RAJONS, RĪGA, LV-1069",IRINA HABAROVA,25,60
RĪGA,3501903396,"Rīgas pirmsskolas izglītības iestāde ""Imanta""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848247, 67848248, 67848249",rpiiiman@riga.lv,"VECUMNIEKU IELA 7, KURZEMES RAJONS, RĪGA, LV-1067",MARINA ŠVEDČIKOVA,25,97
RĪGA,3601801341,"Pirmsskolas izglītības iestāde - estētikas skola ""Sparģelītis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67275724,spargelitis@apollo.lv,"SPARĢEĻU IELA 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",DAIGA RUNDVALDE,35,14
RĪGA,3601801605,"Privātā pirmsskolas izglītības iestāde ""Apelsīnu pasaka""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29542947,tatjana.panova@inbox.lv,"PRŪŠU IELA 81, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",DIĀNA SAMSONOVA,77,0
RĪGA,3601802027,"Kristīgā pirmsskola ""Matejs""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67506028,centrs.matejs@matejs.lv,"MATĪSA IELA 50B, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",IVETA RUDOVIČA,34,34
RĪGA,3601802146,"Privātā pirmsskolas izglītības iestāde ""Remeos""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67280131, 29645522",remeos@inbox.lv,"ĢERTRŪDES IELA 127 - 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",REGĪNA SAKAITE,47,21
RĪGA,3601802717,"Privātā pirmsskolas izglītības iestāde ""Bembi""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26010191,info@bernudarzsbembi.lv,"PLAUŽU IELA 12, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1073",,50,0
RĪGA,3601802761,"Privātā pirmsskolas izglītības iestāde ""Karlson""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26737121,walker_sm@inbox.lv,"DRUVIENAS IELA 17 - 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1079",SVETLANA ANDERSONE,119,11
RĪGA,3601802779,"Privātā pirmsskolas izglītības iestāde ""DŪDA""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"28364649, 28636600",projektspepija@gmail.com,"FIRSA SADOVŅIKOVA IELA 18 - 4, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",RUDĪTE KORNE,51,0
RĪGA,3601802829,"Rīgas Privātā pirmsskolas izglītības iestāde ""Balu""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29262388,elkira71@mail.ru,"MASKAVAS IELA 259a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",,39,6
RĪGA,3601802839,"Privātā pirmsskolas izglītības iestāde ""Ķenguriņš""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29739873,i.p.plus@inbox.lv,"KAŅIERA IELA 10a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",,21,2
RĪGA,3601802858,"Privātā pirmsskolas izglītības iestāde ""Montesori bērnu māja ""Darbīgās rociņas""""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29188332,info@darbigasrocinas.lv,"STABU IELA 63, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011",INGŪNA MIKUDA,35,17
RĪGA,3601802944,"Privātā pirmsskolas izglītības iestāde ""Puķuzirnis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29488204.2656308,pukuzirnis.info@gmail.com,"ALAUKSTA IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",LIENE KRISTAPSONE,34,9
RĪGA,3601802945,"Privātā pirmsskolas izglītības iestāde ""Mans lācis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26131993,info@manslacis.lv,"VĀRNU IELA 11 - 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",INESE RIŽIJA,60,0
RĪGA,3601802947,"Privātā pirmsskolas izglītības iestāde ""Maziņš ES""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29344344,mazinses@inbox.lv,"MATĪSA IELA 59 - 16, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",VALDA GRĪNBERGA-BRĪVĪBA,66,2
RĪGA,3601802963,"Privātā pirmsskolas izglītības iestāde ""Zeltābele""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"29349149, 26545599",zeltabele@inbox.lv,"KAŅIERA IELA 10a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",GUNDEGA DRAVA,54,9
RĪGA,3601802964,"Privātā pirmsskolas izglītības iestāde ""Pērļu māja""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25660606,perlumaja@gmail.com,"ZILUPES IELA 33 - 22, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",ZANE BALTGAILE,38,17
RĪGA,3601802976,"Privātā pirmsskolas izglītības iestāde ""Rotaļkāre""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26311971,rotalkare@gmail.com,"ALEKSANDRA ČAKA IELA 124 - 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1012",AGITA ČISTJAKOVA,30,0
RĪGA,3601803016,"Privātā pirmsskolas izglītības iestāde ""Bruņurupučuks""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29714187,ardelin@inbox.lv,"KAŅIERA IELA 10a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",LUDMILA IVAČENKOVA,28,1
RĪGA,3601803063,"Pirmsskolas izglītības iestāde Montessori izglītības un attīstības centrs ""Kates skola""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,22322476,katesskola@gmail.com,"PĒRNAVAS IELA 62, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",,43,12
RĪGA,3601803065,"Pirmsskolas izglītības iestāde ""Attīstības centrs ģimenei""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,28306588,info@dc4f.lv,"DĀRZIŅU 17. LĪNIJA 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",LIENE VOROŅENKO,25,11
RĪGA,3601803080,"Privātā pirmsskolas izglītības iestāde ""Kukaramba""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,28375780,info@kukaramba.lv,"AIZVARU IELA 12, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1035",,18,11
RĪGA,3601803116,"Privātā pirmsskolas izglītības iestāde ""Cipatiņa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29684803,dmasena@gmail.com,"ULBROKAS IELA 12 k-2 - 7, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",RAIVITA DĪRIĶE,58,0
RĪGA,3601803176,"Privātā pirmsskolas izglītības iestāde ""MūsMājas""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27720917,inga.andrejeva@gmail.com,"ZVAIGŽŅU IELA 11 - 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",INGA ANDRĒJEVA,40,0
RĪGA,3601803332,"Privātā pirmsskolas izglītības iestāde ""Ciemos pie pasakas""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,20035457,ciemospiepasakas@gmail.com,"KAŅIERA IELA 8 - 38, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",ALDA PULENČIKA,28,1
RĪGA,3601803350,"Privātā pirmsskolas izglītības iestāde ""Vāverkaķis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,20001942,laurakalnina@icloud.com,"JERSIKAS IELA 29 - 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",ELĪNA GRIŠČENKO,15,0
RĪGA,3601901039,Rīgas 44. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848226, 67848228, 67848227",r44pii@riga.lv,"SAPIERU IELA 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1012",VANDA SOKOĻSKA,56,34
RĪGA,3601901885,Rīgas 239. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848283, 67848285, 67848284",r239pii@riga.lv,"AKADĒMIĶA MSTISLAVA KELDIŠA IELA 32, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",VALENTĪNA BASAKOVA,168,133
RĪGA,3601901904,Rīgas 220. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848418, 67848419, 67848420",r220pii@riga.lv,"IZVALTAS IELA 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",SILVIJA LINABERGA,86,122
RĪGA,3601901916,"Rīgas pirmsskolas izglītības iestāde ""Asniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848412, 67848414",rpiiasni@riga.lv,"MASKAVAS IELA 268C, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",DINA LINDE,63,47
RĪGA,3601901918,Rīgas 173. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848314,r173pii@riga.lv,"MASKAVAS IELA 254, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",ANNA STACEVIČA,157,70
RĪGA,3601901940,Rīgas 267. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848385, 67848386, 67848387",r267pii@riga.lv,"DRAVNIEKU IELA 8, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",MARGARITA MATĪSA,157,99
RĪGA,3601901942,Rīgas 172. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848759, 67848311, 67848310",r172pii@riga.lv,"GLŪDAS IELA 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",IRINA ZEILĀRE,68,53
RĪGA,3601901947,Rīgas 170. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848395, 67848394, 67848396",r170pii@riga.lv,"FIRSA SADOVŅIKOVA IELA 20A, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",SKAIDRĪTE GRIBUTE,52,61
RĪGA,3601901954,Rīgas Grīziņkalna pirmsskola,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848205, 67848206",rgps@riga.lv,"VĀRNU IELA 13a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",ZINAĪDA BAJĀRE,40,39
RĪGA,3601901955,Rīgas 40. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848328,67848329,67848330",r40pii@riga.lv,"ZILUPES IELA 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",MARINA FILIPPOVA,46,46
RĪGA,3601901956,Rīgas 193. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848316, 67848667, 25424116",r193pii@riga.lv,"MASKAVAS IELA 266, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",LARISA IĻJINA,65,55
RĪGA,3601901957,Rīgas 224. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848421, 67848422, 67848423, 67848013, 67848014",r224pii@riga.lv,"PRŪŠU IELA 82, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",INESSA SAPEŠKO,95,124
RĪGA,3601901958,Rīgas 270. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848511, 67848512, 67848513",r270pii@riga.lv,"SALNAS IELA 18, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",BRIGITA MAKIJEVSKA,160,101
RĪGA,3601901961,Rīgas 125. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848331, 67848332, 67848333",r125pii@riga.lv,"SALACAS IELA 28, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",GAĻINA ALIMOVA,62,42
RĪGA,3601901973,"Rīgas pirmsskolas izglītības iestāde ""Zvaigznīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848210, 25412153",r194pii@riga.lv,"ZVAIGŽŅU IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",KRISTĪNE KRASTIŅA,54,62
RĪGA,3601901975,"Rīgas pirmsskolas izglītības iestāde ""Domino""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848544, 25417882",rpiidomi@riga.lv,"ILŪKSTES IELA 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",IRINA ČERNOGORODA,111,95
RĪGA,3601901977,Rīgas 258. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848276, 67848275, 26417027",r258pii@riga.lv,"TĪNŪŽU IELA 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",NATAĻJA ŽOVŅERČUKA,130,101
RĪGA,3601901983,Rīgas 68. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848434, 67848433, 67848435",r68pii@riga.lv,"ĀDMIŅU IELA 9A, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",AIJA GRĀVELSONE,42,50
RĪGA,3601901994,Rīgas 97. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848426,r97pii@riga.lv,"IKŠĶILES IELA 8, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",NADEŽDA BRUJA,111,103
RĪGA,3601901997,"Rīgas pirmsskolas izglītības iestāde ""Pīlādzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848172, 67848173, 67848174, 25409519, 25434698",rpiipila@riga.lv,"AUGŠIELA 8, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009",MUDĪTE DZELZKALĒJA,53,63
RĪGA,3601901998,Rīgas 262. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848287,r262pii@riga.lv,"JUKUMA VĀCIEŠA IELA 2E, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021",OĻESJA BOGOMOLA,108,109
RĪGA,3601901999,Rīgas 255. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848277,r255pii@riga.lv,"AKADĒMIĶA MSTISLAVA KELDIŠA IELA 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",INGRĪDA MARKUSA,108,92
RĪGA,3601902005,Rīgas 229. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848338, 67848337, 67848339",r229pii@riga.lv,"OGRES IELA 8, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",ANDA MĀLERE,121,92
RĪGA,3601902006,Rīgas 216. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848307, 67848308, 67848309",r216pii@riga.lv,"SALASPILS IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",MARINA TARASOVA,96,116
RĪGA,3601902017,Rīgas 41. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848391, 67848392, 67848393",r41pii@riga.lv,"LUDZAS IELA 74, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",BENITA ĶERE,65,41
RĪGA,3601902022,Rīgas 208. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848304,r208pii@riga.lv,"SALASPILS IELA 18 k-5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",GUNITA PĒTERSONE,111,95
RĪGA,3601902030,Rīgas 256. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848542, 67848541",r256pii@riga.lv,"ILŪKSTES IELA 28, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082",INGA NIEDRA,120,106
