Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"Privātā pirmsskola ""CreaKids""","3701802859","Komercsabiedrības struktūrvienība","DAINA KĀJIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Domiņš""","Sabiedrība ar ierobežotu atbildību ""Domiņš""",Nē,"KASTRĀNES IELA 5A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","29102425  67561231","info@creakids.lv"
"Privātā pirmsskola Patnis","3501802798","Komercsabiedrības struktūrvienība","INGUNA VĀRTIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Patnis un partneri""","Sabiedrība ar ierobežotu atbildību ""Patnis un partneri""",Nē,"GREGORA IELA 13a, KURZEMES RAJONS, RĪGA, LV-1046","67615743, 67622161","patnis@patnis.lv"
"Privātā pirmsskolas izglītības iestāde ""Ābolu maiss""","3401803027","Komercsabiedrības struktūrvienība","KRISTĪNE GRĀVĪTE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Acta-re""","Sabiedrība ar ierobežotu atbildību ""Acta-re""",Nē,"LĀČPLĒŠA IELA 21 - 13, CENTRA RAJONS, RĪGA, LV-1011","29230429, 29443552","actare.ltd@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Apelsīnu pasaka""","3601801605","Komercsabiedrības struktūrvienība","DIĀNA SAMSONOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Apelsīnu pasaka""","SIA ""Apelsīnu pasaka""",Nē,"PRŪŠU IELA 81, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","29542947","tatjana.panova@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Augsim""","3701802958","Komercsabiedrības struktūrvienība","INGA ZAVAĻNAJA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Augsim""","Sabiedrība ar ierobežotu atbildību ""Augsim""",Nē,"BAZNĪCAS IELA 8 - 4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010","20616011","info@augsim.lv"
"Privātā pirmsskolas izglītības iestāde ""Ausmas Bērnudārzs""","4301803384","Komercsabiedrības struktūrvienība","ILZE MAZITĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Ausmas Bērnudārzs""","SIA ""Ausmas Bērnudārzs""",Nē,"""Priedes-1"" - 1, SILAKROGS, ROPAŽU NOVADS, LV-2133","25100840","Ausmasdarzins@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""BeBelv""","3801802827","Komercsabiedrības struktūrvienība","EGIJA POSSE-APSĪTE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""BeBelv""","Sabiedrība ar ierobežotu atbildību ""BeBelv""",Nē,"GAISMAS IELA 19 k-4, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123","27000970 22326693","bebe@bebe.lv"
"Privātā pirmsskolas izglītības iestāde ""Bembi""","3601802717","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Privātā pirmsskolas izglītības iestāde ""Bembi""""","Sabiedrība ar ierobežotu atbildību ""Privātā pirmsskolas izglītības iestāde ""Bembi""""",Nē,"PLAUŽU IELA 12, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1073","26010191","info@bernudarzsbembi.lv"
"Privātā pirmsskolas izglītības iestāde ""Bērnu attīstības centrs ""Pīlīte""""","4301802840","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Rubuls & Co""","Sabiedrība ar ierobežotu atbildību ""Rubuls & Co""",Nē,"MEIJU IELA 4, MĀRUPE, MĀRUPES NOVADS, LV-2167","29332023","pilite_bc@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""BG Ķipars""","3401803033","Komercsabiedrības struktūrvienība","AINA KIELBICKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""BG ĶIPARS""","Sabiedrība ar ierobežotu atbildību ""BG ĶIPARS""",Nē,"DZIRNAVU IELA 86/88 - 7, CENTRA RAJONS, RĪGA, LV-1050","67288005","bac.kipars@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Bizbizmārīte""","3801802838","Komercsabiedrības struktūrvienība","IEVA ANDERSONE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","""5tā diena"", SIA","""5tā diena"", SIA",Nē,"BIŠU IELA 20, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","25654800","info.bizbizmarite@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Brīnumpupa""","3701802909","Komercsabiedrības struktūrvienība","ELĪNA ŠKUTĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Praija""","Sabiedrība ar ierobežotu atbildību ""Praija""",Nē,"VĪLANDES IELA 14 - 1, ZIEMEĻU RAJONS, RĪGA, LV-1010","20364463","brinumpupa@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Bruņurupučuks""","3601803016","Komercsabiedrības struktūrvienība","LUDMILA IVAČENKOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""ARDELIN""","Sabiedrība ar ierobežotu atbildību ""ARDELIN""",Nē,"KAŅIERA IELA 10a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","29714187","ardelin@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Bubberts""","4301803271","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Bubberts""","SIA ""Bubberts""",Nē,"ZEMEŅU IELA 2 - 2, SALASPILS, SALASPILS NOVADS, LV-2169","23076666","arvis.justs@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Burtu pasaulīte""","3801803056","Komercsabiedrības struktūrvienība","SARMA DREIMANE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Burtu Pasaule""","Sabiedrība ar ierobežotu atbildību ""Burtu Pasaule""",Nē,"BAUSKAS IELA 88, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","67316566","sarma.dreimane@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Childcare""","3401802939","Komercsabiedrības struktūrvienība","MADARA REINHOLDE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""CHILDCARE""","Sabiedrība ar ierobežotu atbildību ""CHILDCARE""",Nē,"KRIŠJĀŅA BARONA IELA 3 - 3, CENTRA RAJONS, RĪGA, LV-1050","20200000, 20447558","rudolfs.lacis@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Ciemos pie pasakas""","3601803332","Komercsabiedrības struktūrvienība","ALDA PULENČIKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Pasaku taka""","SIA ""Pasaku taka""",Nē,"KAŅIERA IELA 8 - 38, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","20035457",
"Privātā pirmsskolas izglītības iestāde ""Cipatiņa""","3601803116","Komercsabiedrības struktūrvienība","RAIVITA DĪRIĶE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Cipatiņa""","Sabiedrība ar ierobežotu atbildību ""Cipatiņa""",Nē,"ULBROKAS IELA 12 k-2 - 7, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021","29684803","dmasena@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Dimantiņi""","3801803010","Komercsabiedrības struktūrvienība","KRISTĪNA ANTĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Rebor""","SIA ""Rebor""",Nē,"MAZĀ NOMETŅU IELA 47, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","27740723","dimantini@dimantini.lv"
"Privātā pirmsskolas izglītības iestāde ""Draugi""","4301802763","Komercsabiedrības struktūrvienība","AIJA ENKŪZENA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""ONRA""","Sabiedrība ar ierobežotu atbildību ""ONRA""",Nē,"""DZINTARI"", DREILIŅI, STOPIŅU NOVADS, LV-2130","29609439, 29687704","bvkdraugi@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""DŪDA""","3601802779","Komercsabiedrības struktūrvienība","RUDĪTE KORNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""PROJEKTS PEPIJA""","Sabiedrība ar ierobežotu atbildību ""PROJEKTS PEPIJA""",Nē,"FIRSA SADOVŅIKOVA IELA 18 - 4, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","28364649, 28636600","projektspepija@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Dudiņdārzs""","3701803030","Komercsabiedrības struktūrvienība","ZANDA GARNIZONE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""DUDI""","Sabiedrība ar ierobežotu atbildību ""DUDI""",Nē,"GUSTAVA ZEMGALA GATVE 74A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","28339685","dudindarzs@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Dūjiņa""","3701803262","Komercsabiedrības struktūrvienība","MĀRA NIEDRA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA Dūjiņa","SIA Dūjiņa",Nē,"ŪNIJAS IELA 54, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","26436182, 25901178","info@dujina.lv"
"Privātā pirmsskolas izglītības iestāde ""Elma""","3901803264","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Elma Kids""","Sabiedrība ar ierobežotu atbildību ""Elma Kids""",Nē,"RŪPNIECĪBAS IELA 21 K-2 - 17, ZIEMEĻU RAJONS, RĪGA, LV-1045","26144193","dacesm@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""First step""","3701802934","Komercsabiedrības struktūrvienība","RITA KOVAĻČUKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""First step""","SIA ""First step""",Nē,"ROPAŽU IELA 41 - 15, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","27753060, 27759760","info@firststep.lv"
"Privātā pirmsskolas izglītības iestāde ""Gregucis""","4301803161","Biedrības struktūrvienība","LIENA LAICĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","""Vangažu māmiņu klubs""","""Vangažu māmiņu klubs""",Nē,"SMILŠU IELA 1 - 49, VANGAŽI, INČUKALNA NOVADS, LV-2136","28300301","laicane.liena@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Ģimenes bērnudārzs""","3601802767","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Mākslas Aptieka""","Sabiedrība ar ierobežotu atbildību ""Mākslas Aptieka""",Nē,"KATOĻU IELA 14, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","25915976, 29892229","openart@apollo.lv"
"Privātā pirmsskolas izglītības iestāde ""Jēriņš""","3403801489","Juridiskā vai fiziskā persona ","ILZE IKAUNIECE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības konsultatīvais centrs","Jēzus Evanģēliski luteriskā draudze","Jēzus Evanģēliski luteriskā draudze",Nē,"DZIRNAVU IELA 118 - 2, CENTRA RAJONS, RĪGA, LV-1050","67222698","jerins123@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Jūrmalas Montesori skola""","2901802874","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Jūrmalas privātā skola""","Sabiedrība ar ierobežotu atbildību ""Jūrmalas privātā skola""",Nē,"ZEMGALES IELA 12, JŪRMALA, LV-2008","27001429","info@montesoriskola.lv"
"Privātā pirmsskolas izglītības iestāde ""Kā azotē""","4301803206","Biedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Mēs-mazie siguldieši!","Mēs-mazie siguldieši!",Nē,"RAIŅA IELA 5A - 3, SIGULDA, SIGULDAS NOVADS, LV-2150","26011099","bernusturitis@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Kamoliņš""","3701802730","Komercsabiedrības struktūrvienība","SANITA KĻAVIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Grafias""","SIA ""Grafias""",Nē,"ĀRAIŠU IELA 37, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","25901178","info@rotalunams.lv"
"Privātā pirmsskolas izglītības iestāde ""Kāpēcīšu Skoliņa""","3801803023","Komercsabiedrības struktūrvienība","VIVITA ZEIĻUKA-PUTENE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Kāpēcīšu Skoliņa""","Sabiedrība ar ierobežotu atbildību ""Kāpēcīšu Skoliņa""",Nē,"BAUSKAS IELA 146, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","29584844","kapecisuskolina@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Kāpēcītis""","3801802938","Komercsabiedrības struktūrvienība","RUDĪTE ZARIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Kāpēcītis""","Sabiedrība ar ierobežotu atbildību ""Kāpēcītis""",Nē,"LESTENES IELA 12B, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","29481960","sia.kapecitis@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Karlson""","3601802761","Komercsabiedrības struktūrvienība","ZANE ŽEGLOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""KARLSONS PLUS""","Sabiedrība ar ierobežotu atbildību ""KARLSONS PLUS""",Nē,"DRUVIENAS IELA 17 - 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1079","26737121","walker_sm@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Knābis""","3701802133","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Mazo bērnu skola Knābis""","Sabiedrība ar ierobežotu atbildību ""Mazo bērnu skola Knābis""",Nē,"BRĪVĪBAS GATVE 221, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","29276842, 22080771","knabis@knabis.lv"
"Privātā pirmsskolas izglītības iestāde ""Krabītis""","3701803204","Komercsabiedrības struktūrvienība","ĪRIJA BĒRZIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Crabs""","SIA ""Crabs""",Nē,"RAUNAS IELA 54, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","27270200","bernudarzskrabitis@krabitis.com"
"Privātā pirmsskolas izglītības iestāde ""Kriksīša draugi""","3801803058","Komercsabiedrības struktūrvienība",,0,1,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Ruela""","SIA ""Ruela""",Nē,"EDUARDA SMIĻĢA IELA 38 - 11, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","26327320","kriksisadraugi@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Kripatiņas""","4401802766","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","IK ""RĀGA""","IK ""RĀGA""",Nē,"""Ilgas"", ENDZELE, JERU PAGASTS, RŪJIENAS NOVADS, LV-4234","29460711","Freimane@tvnet.lv"
"Privātā pirmsskolas izglītības iestāde ""Kukaramba""","3601803080","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Kukaramba""","SIA ""Kukaramba""",Nē,"AIZVARU IELA 12, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1035","28375780","info@kukaramba.lv"
"Privātā pirmsskolas izglītības iestāde ""Kultūras Pikniks""","3701803009","Biedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Biedrība ""Kultūras Pikniks""","Biedrība ""Kultūras Pikniks""",Nē,"SKANSTES IELA 50B, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","27771336, 26549541","pikniks3@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Ķenguriņš""","3601802839","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""I.P.Plus""","Sabiedrība ar ierobežotu atbildību ""I.P.Plus""",Nē,"KAŅIERA IELA 10a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","29739873","i.p.plus@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Ķipars-2""","3401803062","Komercsabiedrības struktūrvienība","AINA KIELBICKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Ķipars-2""","Sabiedrība ar ierobežotu atbildību ""Ķipars-2""",Nē,"DZIRNAVU IELA 86/88 - 9, CENTRA RAJONS, RĪGA, LV-1050","67288005","aina54@inbox.lv"
"Privātā Pirmsskolas izglītības iestāde ""Lācīša namiņš""","4301803231","Komercsabiedrības struktūrvienība","VIOLETA JUDINA",0,1,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Lācīša namiņš""","Sabiedrība ar ierobežotu atbildību ""Lācīša namiņš""",Nē,"SKOLAS IELA 11, SALASPILS, SALASPILS NOVADS, LV-2121","26421685, 24429700","lacisanamins@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Lācītis MAO""","3801803413","Komercsabiedrības struktūrvienība","JEVGENIJA NERETA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Lācītis MAO""","Sabiedrība ar ierobežotu atbildību ""Lācītis MAO""",Nē,"GRAUDU IELA 12A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058","28380624","lacitismao@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Laimes lācis""","3701802845","Komercsabiedrības struktūrvienība","KRISTĪNE LOPESA-PUIGROSA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""NAKONA""","Sabiedrība ar ierobežotu atbildību ""NAKONA""",Nē,"KRĒGERMUIŽAS IELA 2A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1063","22827843","ppii.laimeslacis@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Laiva""","4301802747","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Amruts""","SIA ""Amruts""",Nē,"GARĀ IELA 9, CARNIKAVA, CARNIKAVAS NOVADS, LV-2163","67606739, 25982916","laiva.carnikava@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Langstiņi""","4301802339","Komercsabiedrības struktūrvienība","SIGNIJA JEZUNA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Baltezera pērle""","Sabiedrība ar ierobežotu atbildību ""Baltezera pērle""",Nē,"LIEDAGA IELA 7, PRIEDKALNE, GARKALNES NOVADS, LV-1024","26313677, 26106534","langstini@apollo.lv"
"Privātā pirmsskolas izglītības iestāde ""Lapsēns""","3701802851","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Aniorss""","Sabiedrība ar ierobežotu atbildību ""Aniorss""",Nē,"ĀRAIŠU IELA 37, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","25901178, 28451177","info@lapsens.lv"
"Privātā pirmsskolas izglītības iestāde ""Lāsīte""","3701802700","Komercsabiedrības struktūrvienība","LIENE BODNIECE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Remido""","Sabiedrība ar ierobežotu atbildību ""Remido""",Nē,"PĪĻU IELA 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","29585957,27729222","info.lasite@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Laumiņas rezidence""","3801803061","Komercsabiedrības struktūrvienība","GINTA UPENIECE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""Laumiņas rezidence 1""","SIA ""Laumiņas rezidence 1""",Nē,"APUZES IELA 34A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046","27875559","rezidence@lauminas-rezidence.lv"
"Privātā pirmsskolas izglītības iestāde ""LIESMIŅAS""","4301802704","Komercsabiedrības struktūrvienība","LINDA REZŅIKOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""EX GRATIA""","SIA ""EX GRATIA""",Nē,"GRAVU IELA 42, SPILVE, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2101","29463322","Konstantins.Reznikovs@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Lotte""","3701802690","Juridiskā vai fiziskā persona ","IVETA PUDĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","IK ""Bērnu rotaļu un attīstības centrs ""Lotte""""","IK ""Bērnu rotaļu un attīstības centrs ""Lotte""""",Nē,"BIĶERNIEKU IELA 33A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","26685506","info@lotte.lv"
"Privātā pirmsskolas izglītības iestāde ""m""Kripatiņas""","4301803075","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""RĀGA-1""","SIA ""RĀGA-1""",Nē,"MĀRAS IELA 14, MĀRUPE, MĀRUPES NOVADS, LV-2167","27136686","xuanshi29@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""Mācos mācīties""","2801803260","Komercsabiedrības struktūrvienība","AMANDA SILIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Barboleta""","Sabiedrība ar ierobežotu atbildību ""Barboleta""",Nē,"ATMODAS IELA 9, JELGAVA, LV-3001","29368746","baiba.jurane@barbo.lv"
"Privātā pirmsskolas izglītības iestāde ""MĀMIŅU KLUBA BĒRNUDĀRZS""","3901803351","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""LIETIŠĶĀS KREATIVITĀTES GRUPA""","Sabiedrība ar ierobežotu atbildību ""LIETIŠĶĀS KREATIVITĀTES GRUPA""",Nē,"VĪLANDES IELA 1 - 2, ZIEMEĻU RAJONS, RĪGA, LV-1010","67350750, 29730785","sandra.livmane@maminuklubs.lv"
"Privātā pirmsskolas izglītības iestāde ""Mana saulīte""","3601802916","Komercsabiedrības struktūrvienība","IVETA BLAGAJA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""JuLady""","Sabiedrība ar ierobežotu atbildību ""JuLady""",Nē,"RUDENS IELA 6 - 94, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","27767152","manasaulite_kek@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mans lācis""","3601802945","Komercsabiedrības struktūrvienība","INESE RIŽIJA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Mans lācis""","Sabiedrība ar ierobežotu atbildību ""Mans lācis""",Nē,"VĀRNU IELA 11 - 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","26131993","info@manslacis.lv"
"Privātā pirmsskolas izglītības iestāde ""Marijas Bērnu māja""","3401803412","Komercsabiedrības struktūrvienība","AMANDA BERGA-DĀRZIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""KatlZ""","SIA ""KatlZ""",Nē,"KRIŠJĀŅA BARONA IELA 90 - 12, CENTRA RAJONS, RĪGA, LV-1001","+371 29258864","marijasmaja@gmail.com"
"Privātā pirmsskolas izglītības iestāde ""MAZĀ PUPA""","3901802736","Komercsabiedrības struktūrvienība","AIJA LEJIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","SIA ""MAZĀ PUPA""","SIA ""MAZĀ PUPA""",Nē,"LIMBAŽU IELA 4, ZIEMEĻU RAJONS, RĪGA, LV-1005","29124090","maza-pupa@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mazā Raibā Pupa""","3901803244","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Raiba pupa""","Sabiedrība ar ierobežotu atbildību ""Raiba pupa""",Nē,"EMMAS IELA 19 - 44, ZIEMEĻU RAJONS, RĪGA, LV-1015","28646644","info@raibapupa.lv"
"Privātā pirmsskolas izglītības iestāde ""Maza Rasiņa""","3801802993","Komercsabiedrības struktūrvienība","TATJANA STROKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Maza Rasiņa""","Sabiedrība ar ierobežotu atbildību ""Maza Rasiņa""",Nē,"KALNCIEMA IELA 141, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046","29678317","mazarasina@inbox.lv"
"Privātā pirmsskolas izglītības iestāde ""Mazais Brīnums""","3801802985","Komercsabiedrības struktūrvienība",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Dārgumiņš""","Sabiedrība ar ierobežotu atbildību ""Dārgumiņš""",Nē,"KRŪZES IELA 3, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046","29412748","mazaisbrinums@gmail.com"
