Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
175,JELGAVA,2811902954,Jelgavas 4. sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"PULKVEŽA OSKARA KALPAKA IELA 34, JELGAVA, LV-3001",4ssk@izglitiba.jelgava.lv,63022236,AGITA LUNDBERGA,25,1001
176,JELGAVA,2812802996,"Lazdiņas privātā pamatskola ""Punktiņš""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"JĀŅA ASARA IELA 12, JELGAVA, LV-3001",punktins@inbox.lv,63023718,LINDA OZOLA,104,62
177,JELGAVA,2812903293,Jelgavas Centra pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"UZVARAS IELA 10, JELGAVA, LV-3001",3ssk@izglitiba.jelgava.lv,"63022256, 63028198",JURIS SKRUPSKIS,21,710
178,JELGAVA,2813900137,Jelgavas 4. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AKMEŅU IELA 1, JELGAVA, LV-3004",4vsk@izglitiba.jelgava.lv,63029555,AGRIS CELMS,0,1265
179,JELGAVA,2813900138,Jelgavas 5. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ASPAZIJAS IELA 20, JELGAVA, LV-3001",5vsk@izglitiba.jelgava.lv,63026073,NATELA SEĻIŠČEVA,0,801
180,JELGAVA,2813900139,Jelgavas 6. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LOKA MAĢISTRĀLE 29, JELGAVA, LV-3004",6vsk@izglitiba.jelgava.lv,63020275,ILZE ARBIDANE,79,677
181,JELGAVA,2813902959,Jelgavas Tehnoloģiju vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MEIJU CEĻŠ 9, JELGAVA, LV-3007",jtvsk@izglitiba.jelgava.lv,63020005,VALENTĪNA MAIDO,0,1014
182,JELGAVA,2819902423,Jelgavas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"MĀTERA IELA 44, JELGAVA, LV-3000",vgim@izglitiba.jelgava.lv,63023373,INESE BANDENIECE,0,803
183,JELGAVA,2819903270,Jelgavas Spīdolas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"SARMAS IELA 2, JELGAVA, LV-3001",sgim@izglitiba.jelgava.lv,63029212,ILZE VILKĀRSE,0,563
184,JELGAVA,2822902715,Jelgavas Paula Bendrupa pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"FILOZOFU IELA 50, JELGAVA, LV-3001",pbp@izglitiba.jelgava.lv,63021773,GUNTA PASLAUSKA,0,111
185,JELGAVA,2824903199,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"INSTITŪTA IELA 4, JELGAVA, LV-3002",jpsk-acvaldeka@izglitiba.jelgava.lv,63023684,GUNDA BALODE,11,157
186,JELGAVA,2831902686,Jelgavas Amatu vidusskola,Pašvaldība ,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,"AKADĒMIJAS IELA 25, JELGAVA, LV-3001",avsk@izglitiba.jelgava.lv,63020305,EDĪTE BIŠERE,0,151
187,JELGAVAS NOVADS,4512900842,Svētes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VILCES IELA 6, SVĒTE, SVĒTES PAGASTS, JELGAVAS NOVADS, LV-3008",svetespsk@jelgavasnovads.lv,63055397,INGA JANSONE,150,165
188,JELGAVAS NOVADS,4512900843,Vilces pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MADARU IELA 2, VILCE, VILCES PAGASTS, JELGAVAS NOVADS, LV-3026",vilcespsk@jelgavasnovads.lv,63061085,ZANDA REINVALDE,51,87
189,JELGAVAS NOVADS,4512900845,Šķibes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 3, NĀKOTNE, GLŪDAS PAGASTS, JELGAVAS NOVADS, LV-3040",skibespsk@jelgavasnovads.lv,"63077289, 28603829",SANDRA PLUĢE,99,135
190,JELGAVAS NOVADS,4512900847,Aizupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Aizupes skola"", TUŠĶI, LĪVBĒRZES PAGASTS, JELGAVAS NOVADS, LV-3003",aizupespsk@jelgavasnovads.lv,63083046,ZANE LANGE,23,217
191,JELGAVAS NOVADS,4512900848,Sesavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, SESAVA, SESAVAS PAGASTS, JELGAVAS NOVADS, LV-3034",sesavaspsk@jelgavasnovads.lv,63061698,INĀRA NIKOLAJEVA,51,81
192,JELGAVAS NOVADS,4512903193,Līvbērzes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 10, LĪVBĒRZE, LĪVBĒRZES PAGASTS, JELGAVAS NOVADS, LV-3014",livberzespsk@jelgavasnovads.lv,"63072588, 63072388",DAIGA PODKALNA,72,112
193,JELGAVAS NOVADS,4513900858,Kalnciema vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Kalnciema vidusskola"", VALGUNDES PAGASTS, JELGAVAS NOVADS, LV-3017",kalnciemavsk@jelgavasnovads.lv,63069112,IVITA SALDAVA,53,229
194,JELGAVAS NOVADS,4513900859,Elejas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MEŽA PROSPEKTS 5, ELEJA, ELEJAS PAGASTS, JELGAVAS NOVADS, LV-3023",elejasvsk@jelgavasnovads.lv,63061258,SARMĪTE BALODE,0,315
195,JELGAVAS NOVADS,4513900861,Vircavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JELGAVAS IELA 2, VIRCAVA, VIRCAVAS PAGASTS, JELGAVAS NOVADS, LV-3020",vircavasvsk@jelgavasnovads.lv,63086045,EVA FIŠERE,146,209
196,JELGAVAS NOVADS,4513902499,Kalnciema pagasta vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIELUPES IELA 21, KALNCIEMS, KALNCIEMA PAGASTS, JELGAVAS NOVADS, LV-3016",Kalnciemapagvsk@jelgavasnovads.lv,63069701,ANITA KLUPŠA,0,112
197,JELGAVAS NOVADS,4513902755,Staļģenes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 2, STAĻĢENE, JAUNSVIRLAUKAS PAGASTS, JELGAVAS NOVADS, LV-3031",stalgenesvsk@jelgavasnovads.lv,29183587,AIVARS NAGLIS,98,233
198,JELGAVAS NOVADS,4513902986,Zaļenieku komerciālā un amatniecības vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JELGAVAS IELA 7, ZAĻENIEKI, ZAĻENIEKU PAGASTS, JELGAVAS NOVADS, LV-3011",zaleniekukav@jelgavasnovads.lv,63074474,LILITA LEOHO,54,158
199,JELGAVAS NOVADS,4515900863,Jelgavas novada Neklātienes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Neklātienes vidusskola,"PASTA IELA 37, JELGAVA, LV-3001",nvsk@jelgavasnovads.lv,63084021 63024802,IRMA SĒRMŪKSLE,0,321
200,JELGAVAS NOVADS,4522900862,Lielplatones pamatskola-atbalsta centrs,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Lielplatones skola"", LIELPLATONES PAGASTS, JELGAVAS NOVADS, LV-3022",lielplatonessip@jelgavasnovads.lv,63061940,ANDRIS URBĀNS,0,70
201,JĒKABPILS,1013900258,Jēkabpils 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JAUNĀ IELA 44, JĒKABPILS, LV-5201",skola@2vsk.edu.lv,"65232303, 20364306",ILONA SALMIŅA,0,1275
202,JĒKABPILS,1013900259,Jēkabpils 3. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SLIMNĪCAS IELA 5, JĒKABPILS, LV-5202",3.vidusskola@3vsk.jekabpils.lv,"65237980, 29116873",LIGITA AŠNEVICA,0,699
203,JĒKABPILS,1019900257,Jēkabpils Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"RŪDOLFA BLAUMAŅA IELA 27, JĒKABPILS, LV-5201",jvg@jvg.edu.lv,65237550 29331948,VALERJANS VIZULIS,0,503
204,JĒKABPILS NOVADS,4512900267,Ābeļu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Ābeļu pamatskola"", ĀBEĻI, ĀBEĻU PAGASTS, JĒKABPILS NOVADS, LV-5212",abelupsk@jekabpilsnovads.lv,"65236656, 26422133, 65236835",JURIS GAIGALS,34,131
205,JĒKABPILS NOVADS,4512900270,Dignājas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Dignājas skola"", DIGNĀJAS PAGASTS, JĒKABPILS NOVADS, LV-5215",dignajaspsk@jekabpilsnovads.lv,"65229057, 29625255",AELITA BĒRZIŅA,25,41
206,JĒKABPILS NOVADS,4512900281,Rubeņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Rubeņu skola"", RUBEŅI, RUBENES PAGASTS, JĒKABPILS NOVADS, LV-5229",rubenespsk@jekabpilsnovads.lv,"65228204, 29388480",ILONA KANTĀNE,31,64
207,JĒKABPILS NOVADS,4513900263,Zasas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Zasas vidusskola"", ZASA, ZASAS PAGASTS, JĒKABPILS NOVADS, LV-5239",zasavsk@inbox.lv,27008981,ARNITA PORE,45,148
208,JŪRMALA,2911901386,"Sākumskola ""Ābelīte""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"PLŪDU IELA 4A, JŪRMALA, LV-2015",sskabelite@edu.jurmala.lv,67811174,NATĀLIJA ZARĀNE,162,84
209,JŪRMALA,2912901351,Slokas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 3, JŪRMALA, LV-2011",slokaspsk@edu.jurmala.lv,67811509,GUNTARS MIĶELSONS,0,255
210,JŪRMALA,2912901382,Jūrmalas Alternatīvā skola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VIESTURA IELA 6, JŪRMALA, LV-2010",jas@edu.jurmala.lv,67755088,INETA BĒRZIŅA,60,242
211,JŪRMALA,2912901441,Vaivaru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKAUTU IELA 2, JŪRMALA, LV-2008",vaivarupsk@edu.jurmala.lv,67811175,INESE KĀRKLIŅA,25,144
212,JŪRMALA,2912903110,Ķemeru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"TUKUMA IELA 10, JŪRMALA, LV-2012",kemerupsk@edu.jurmala.lv,67765520,SVETLANA SEŅKINA,0,108
213,JŪRMALA,2912903112,Jūrmalas pilsētas Lielupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"AIZPUTES IELA 1a, JŪRMALA, LV-2010",lielupespsk@edu.jurmala.lv,"67753281, 29492036",INITA VANKA-TREIFELDE,0,137
214,JŪRMALA,2913801521,Latvijas Starptautiskā skola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MEISTARU IELA 2, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",mpole@isl.edu.lv,"67755146, 67755018",RONELDA JOSEPHINE JOYCE CAPADONA,36,372
215,JŪRMALA,2913901344,Jūrmalas pilsētas Kauguru vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAIŅA IELA 118, JŪRMALA, LV-2016",kauguruvsk@edu.jurmala.lv,67733131,ZINAĪDA TARASENKO,31,614
216,JŪRMALA,2913901346,Pumpuru vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRONVALDA IELA 8, JŪRMALA, LV-2008",pumpuruvsk@edu.jurmala.lv,67767312,AUSMA BRUŅENIECE,28,813
217,JŪRMALA,2913901348,Jūrmalas pilsētas Mežmalas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RŪPNIECĪBAS IELA 13, JŪRMALA, LV-2016",mezmalasvsk@edu.jurmala.lv,"67739651, 28374899, 29849071 ",ANDŽELA ZUBKOVSKA,64,441
218,JŪRMALA,2913901349,Jūrmalas pilsētas Jaundubultu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIELUPES IELA 21, JŪRMALA, LV-2015",jaundubultuvsk@edu.jurmala.lv,67760866,ĒRIKS ANNUŠKĀNS,0,339
219,JŪRMALA,2913901352,Majoru vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 3, JŪRMALA, LV-2015",majoruvsk@edu.jurmala.lv,67761666,ILZE OSE,16,450
220,JŪRMALA,2919902697,Jūrmalas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"RAIŅA IELA 55, JŪRMALA, LV-2011",jvg@edu.jurmala.lv,67735842,IEVA TARANDA,0,708
221,JŪRMALA,2922901384,Jūrmalas pilsētas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"DZIRNAVU IELA 50, JŪRMALA, LV-2011",specskola@edu.jurmala.lv,67732233,INDULIS SKUDRA,5,83
222,KANDAVAS NOVADS,4311903361,Zemītes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Zemītes pils"", ZEMĪTE, ZEMĪTES PAGASTS, KANDAVAS NOVADS, LV-3135",zemitepsk@kopideja.lv,63155356,RAMONA LIEPIŅA-KRAUJA,33,28
223,KANDAVAS NOVADS,4312900231,Cēres pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, CĒRE, CĒRES PAGASTS, KANDAVAS NOVADS, LV-3122",ceres.skola@kandava.lv,63154995,ILONA LAZDĀNE,26,63
224,KANDAVAS NOVADS,4312900246,Kandavas novada Zantes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 14, ZANTE, ZANTES PAGASTS, KANDAVAS NOVADS, LV-3134",zantskola@inbox.lv,63155309,KRISTĪNE ELKSNĪTE,19,73
225,KANDAVAS NOVADS,4312903111,Vānes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Prātnieki"", VĀNE, VĀNES PAGASTS, KANDAVAS NOVADS, LV-3131",vanepsk@tukums.parks.lv,"63155148, 63155142",IVARS LASIS,46,48
226,KANDAVAS NOVADS,4313900205,Kandavas Kārļa Mīlenbaha vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 10, KANDAVA, KANDAVAS NOVADS, LV-3120",kandvid@tukums.parks.lv,63181887,DAIGA PUGA,0,386
227,KANDAVAS NOVADS,4313900352,Kandavas Reģionālā vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TALSU IELA 18A, KANDAVA, KANDAVAS NOVADS, LV-3120",kandavas_ivs@apollo.lv,63182049,ELITA LAVRINOVIČA,12,254
228,KĀRSAVAS NOVADS,4212900450,Salnavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 8, SALNAVA, SALNAVAS PAGASTS, KĀRSAVAS NOVADS, LV-5740",salnava.skola@karsava.lv,65726201,SILVIJA GEIDĀNE,10,20
229,KĀRSAVAS NOVADS,4212900452,Mērdzenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, MĒRDZENE, MĒRDZENES PAGASTS, KĀRSAVAS NOVADS, LV-5726",merdzenes.pamatskola@karsava.lv,65722798 26362799,INESE AVOTA,21,58
230,KĀRSAVAS NOVADS,4212900463,Mežvidu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", MEŽVIDI, MEŽVIDU PAGASTS, KĀRSAVAS NOVADS, LV-5725",mezvidu.pamatskola@karsava.lv,65728291,VITA KRIŠĀNE,25,50
231,KĀRSAVAS NOVADS,4213902516,Kārsavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VIENĪBAS IELA 101, KĀRSAVA, KĀRSAVAS NOVADS, LV-5717",vidusskola@karsava.lv,65707214,EDGARS PUKSTS,0,275
232,KOCĒNU NOVADS,4412900637,Rubenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VALMIERAS IELA 1, RUBENE, KOCĒNU PAGASTS, KOCĒNU NOVADS, LV-4227",ivars.adamsons@kocenunovads.lv,29487602,IVARS ĀDAMSONS,0,111
233,KOCĒNU NOVADS,4412900647,Kocēnu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ALEJAS IELA 2, KOCĒNI, KOCĒNU PAGASTS, KOCĒNU NOVADS, LV-4220",kocenu.pamatskola@kocenunovads.lv,64220350,DAINIS TRĒZIŅŠ,0,273
234,KOCĒNU NOVADS,4412900648,Jura Neikena Dikļu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Dikļu skola"", DIKĻI, DIKĻU PAGASTS, KOCĒNU NOVADS, LV-4223",diklu.pamatskola@kocenunovads.lv,64231840,LĀSMA ŽAGOTA,104,93
235,KOCĒNU NOVADS,4422903146,Ziemeļvidzemes pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"SKOLAS IELA 5, VAIDAVA, VAIDAVAS PAGASTS, KOCĒNU NOVADS, LV-4228",ziemelvidzeme@kocenunovads.lv,26423042,LIGITA KŪLE,0,29
236,KOKNESES NOVADS,4511903092,Pērses sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Pērses pamatskola"", IRŠI, IRŠU PAGASTS, KOKNESES NOVADS, LV-5108",perses.sk@inbox.lv,65163511,SANTA KALNIŅA,17,28
237,KOKNESES NOVADS,4512900987,Bebru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Bebru pamatskola"", VECBEBRI, BEBRU PAGASTS, KOKNESES NOVADS, LV-5135",bebrupamatskola@koknese.lv,65164357,LIDIJA DEGTJAREVA,0,96
238,KOKNESES NOVADS,4513901334,Ilmāra Gaiša Kokneses vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PARKA IELA 27, KOKNESE, KOKNESES PAGASTS, KOKNESES NOVADS, LV-5113",koknese@latnet.lv,65161134,INESE SAULĪTE,0,391
239,KOKNESES NOVADS,4524900991,Kokneses pamatskola - attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"""Kokneses speciālā internātskola"", BORMAŅI, KOKNESES PAGASTS, KOKNESES NOVADS, LV-5113",ksiac@inbox.lv,65129248,ANITA ŠČERBINSKA,15,84
240,KRĀSLAVAS NOVADS,4212900551,Robežnieku pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, ROBEŽNIEKI, ROBEŽNIEKU PAGASTS, KRĀSLAVAS NOVADS, LV-5666",robezniekiskola@inbox.lv,29431850,MAIJA ŠEMELE,6,57
241,KRĀSLAVAS NOVADS,4212900569,Krāslavas gr. Plāteru v.n. Poļu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RĒZEKNES IELA 39, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601",polupamatskola@kraslava.lv,65622771 65622756 65622749,ČESLAVA KOZLOVSKA,0,46
242,KRĀSLAVAS NOVADS,4212903083,Indras pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, INDRA, INDRAS PAGASTS, KRĀSLAVAS NOVADS, LV-5664",indras.vsk@inbox.lv,"65625287, 26194279",INGA JĀKOBSONE,10,64
243,KRĀSLAVAS NOVADS,4213900576,Krāslavas Varavīksnes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"N. RANCĀNA IELA 4, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601",varaviksne@kraslava.lv,65681468,LUDMILA SENČENKOVA,0,420
244,KRĀSLAVAS NOVADS,4219902694,Krāslavas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"PILS IELA 5, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601",kvg@kraslava.lv,"65622095, 65622096",JĀNIS TUKĀNS,0,595
245,KRIMULDAS NOVADS,4312900169,Garlība Merķeļa Lēdurgas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", LĒDURGA, LĒDURGAS PAGASTS, KRIMULDAS NOVADS, LV-4012",ledurgasskola@krimulda.lv,64064456,MAIJA KALNIŅA,44,63
246,KRIMULDAS NOVADS,4313901119,Krimuldas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 11, RAGANA, KRIMULDAS PAGASTS, KRIMULDAS NOVADS, LV-2144",krimulda.skola@latnet.lv,67978525,RITA ERDMANE,0,407
247,KRUSTPILS NOVADS,1012900275,Krustpils pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MADONAS IELA 48, JĒKABPILS, LV-5202",kps48@inbox.lv,"65221063, 29503096",VIJA STIEBRIŅA,0,185
248,KRUSTPILS NOVADS,4511902965,Variešu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Variešu sākumskola"", VARIEŠI, VARIEŠU PAGASTS, KRUSTPILS NOVADS, LV-5236",variesi.ssk@krustpils.lv,26601059,INESE ZIEDIŅA,43,40
249,KRUSTPILS NOVADS,4512900278,Mežāres pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Mežāres pamatskola"", MEŽĀRE, MEŽĀRES PAGASTS, KRUSTPILS NOVADS, LV-5226",mezarepsk@krustpils.lv,"65228320, 26605796",ILONA GOLOVCEVA,18,28
250,KRUSTPILS NOVADS,4512900284,Sūnu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, KŪKAS, KŪKU PAGASTS, KRUSTPILS NOVADS, LV-5222",sunupsk@krustpils.lv,"65228004, 28676947",INESE ZIEDIŅA,36,88
251,KRUSTPILS NOVADS,4512900286,Vīpes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Vīpes skola"", VĪPES PAGASTS, KRUSTPILS NOVADS, LV-5238",vipespsk@krustpils.lv,26603931,LIENE UPENIECE,21,42
252,KRUSTPILS NOVADS,4513900256,Brāļu Skrindu Atašienes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Marinzeja"", ATAŠIENES PAGASTS, KRUSTPILS NOVADS, LV-5211",atasiene.vsk@krustpils.lv,"65228357, 65228358",LĪGA ZALĀNE,15,55
253,KRUSTPILS NOVADS,4522901242,Antūžu pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Mežmalas"", ANTŪŽI, VARIEŠU PAGASTS, KRUSTPILS NOVADS, LV-5209",antuzispsk@krustpils.lv,"65229160, 29465070",ZIEDONIS OZOLIŅŠ,4,69
254,KULDĪGAS NOVADS,4111903375,Vilgāles sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Vilgāles pamatskola"", VILGĀLE, KURMĀLES PAGASTS, KULDĪGAS NOVADS, LV-3332",vilgalesskola@kuldiga.lv,63361152,AIGA ŽĪLE,73,60
255,KULDĪGAS NOVADS,4112803383,Kuldīgas Kristīgā pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"KAĻĶU IELA 33, KULDĪGA, KULDĪGAS NOVADS, LV-3301",kuldigasmantojums@gmail.com,29555057,LĀSMA VĪTOLIŅA,0,23
256,KULDĪGAS NOVADS,4112901178,Vārmes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Vārmes pamatskola"", VĀRME, VĀRMES PAGASTS, KULDĪGAS NOVADS, LV-3333",varmesskola@kuldiga.lv,63324284,AGITA GRĀVERE-PRENCLAVA,32,81
257,KULDĪGAS NOVADS,4112901179,Turlavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", TURLAVA, TURLAVAS PAGASTS, KULDĪGAS NOVADS, LV-3329",turlavasskola@kuldiga.lv,"63372341,63372383",LĀSMA VEIGELTE,30,79
258,KULDĪGAS NOVADS,4112901184,Laidu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""LAIDU SKOLA"", LAIDI, LAIDU PAGASTS, KULDĪGAS NOVADS, LV-3317",laiduskola@kuldiga.lv,63354472,ELITA TISJAKA,29,48
259,KULDĪGAS NOVADS,4112901194,Ēdoles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", ĒDOLE, ĒDOLES PAGASTS, KULDĪGAS NOVADS, LV-3310",edoles.skola@inbox.lv,63345142,AIGARS MATEVIČS,26,91
260,KULDĪGAS NOVADS,4112902771,Z.A. Meierovica Kabiles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Kabiles vidusskola"", KABILE, KABILES PAGASTS, KULDĪGAS NOVADS, LV-3314",kabileskola@inbox.lv,63354112,ANITA ZĒBERGA,26,70
261,KULDĪGAS NOVADS,4113901189,Kuldīgas Mākslas un humanitāro zinību vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PĒTERA IELA 5, KULDĪGA, KULDĪGAS NOVADS, LV-3301",kmhzs@inbox.lv,"63322520, 63323460",VALDA GAURE,0,269
262,KULDĪGAS NOVADS,4113901191,Kuldīgas 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JELGAVAS IELA 62, KULDĪGA, KULDĪGAS NOVADS, LV-3301",kuldiga2vsk@kuldiga.lv,"20269435, 27020639",GUNTRA BUIVIDA,39,397
